,Task 1
0,BACKGROUND
1,OBJECTIVES
2,METHODS
3,METHODS
4,RESULTS
5,CONCLUSIONS
6,OBJECTIVES
7,OTHERS
8,METHODS/RESULTS
9,RESULTS
10,RESULTS
11,BACKGROUND
12,OBJECTIVES
13,METHODS
14,METHODS
15,METHODS
16,METHODS
17,METHODS
18,RESULTS/CONCLUSIONS
19,BACKGROUND
20,BACKGROUND
21,BACKGROUND
22,OBJECTIVES
23,OBJECTIVES
24,METHODS
25,METHODS
26,METHODS
27,METHODS
28,METHODS
29,RESULTS
30,RESULTS
31,RESULTS
32,RESULTS
33,RESULTS
34,CONCLUSIONS
35,BACKGROUND
36,BACKGROUND
37,BACKGROUND
38,BACKGROUND
39,METHODS
40,METHODS
41,METHODS
42,METHODS
43,METHODS
44,METHODS
45,OBJECTIVES/RESULTS/CONCLUSIONS
46,OBJECTIVES/METHODS
47,METHODS
48,CONCLUSIONS
49,RESULTS
50,RESULTS
51,BACKGROUND
52,BACKGROUND/OBJECTIVES
53,OBJECTIVES/METHODS
54,METHODS/RESULTS
55,RESULTS
56,CONCLUSIONS
57,OBJECTIVES
58,METHODS
59,METHODS
60,METHODS
61,METHODS
62,RESULTS
63,RESULTS
64,RESULTS
65,RESULTS
66,RESULTS
67,BACKGROUND/OBJECTIVES
68,BACKGROUND
69,BACKGROUND/METHODS
70,OBJECTIVES/METHODS/RESULTS
71,OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
72,BACKGROUND
73,OBJECTIVES
74,RESULTS/CONCLUSIONS
75,METHODS
76,BACKGROUND
77,BACKGROUND
78,BACKGROUND
79,BACKGROUND
80,OBJECTIVES
81,METHODS
82,METHODS/RESULTS
83,RESULTS/CONCLUSIONS
84,BACKGROUND
85,OBJECTIVES
86,BACKGROUND
87,BACKGROUND
88,OBJECTIVES
89,METHODS
90,METHODS
91,METHODS/RESULTS
92,RESULTS/CONCLUSIONS
93,CONCLUSIONS
94,BACKGROUND
95,BACKGROUND
96,BACKGROUND
97,RESULTS
98,RESULTS
99,OTHERS
100,OTHERS
101,RESULTS
102,METHODS
