,Abstract,Task 1
0,"Rapid popularity of Internet of Things (IoT) and cloud computing permits neuroscientists to collect multilevel and multichannel brain data to better understand brain functions, diagnose diseases, and devise treatments.",BACKGROUND
11,"High quality upsampling of sparse 3D point clouds is critically useful for a wide range of geometric operations such as reconstruction, rendering, meshing, and analysis.",BACKGROUND
19,Internet is the main source of information nowadays.,BACKGROUND
20,The search engines must have various alternative manners for the search results representation.,BACKGROUND
21,These representation methods will enable the end users especially the Visually Impaired VI web searchers to access the information on the web.,BACKGROUND
35,Automated Facial Expression Recognition (FER) has been a challenging task for decades.,BACKGROUND
36,"Many of the existing works use hand-crafted features such as LBP, HOG, LPQ, and Histogram of Optical Flow (HOF) combined with classifiers such as Support Vector Machines for expression recognition.",BACKGROUND
37,These methods often require rigorous hyperparameter tuning to achieve good results.,BACKGROUND
38,Recently Deep Neural Networks (DNN) have shown to outperform traditional methods in visual object recognition.,BACKGROUND
51,Existing deep multitask learning (MTL) approaches align layers shared between tasks in a parallel ordering.,BACKGROUND
52,Such an organization significantly constricts the types of shared structure that can be learned.,BACKGROUND/OBJECTIVES
67,"How spiking networks are able to perform probabilistic inference is an intriguing question, not only for understanding information processing in the brain, but also for transferring these computational principles to neuromorphic silicon circuits.",BACKGROUND/OBJECTIVES
68,"A number of computationally powerful spiking network models have been proposed, but most of them have only been tested, under ideal conditions, in software simulations.",BACKGROUND
69,"Any implementation in an analog, physical system, be it in vivo or in silico, will generally lead to distorted dynamics due to the physical properties of the underlying substrate.",BACKGROUND/METHODS
72,Low-density parity-check (LDPC) codes on symmetric memoryless channels have been analyzed using statistical physics by several authors.,BACKGROUND
76,"Mobile agent networks, such as multi-UAV systems, are constrained by limited resources.",BACKGROUND
77,"In particular, limited energy affects system performance directly, such as system lifetime.",BACKGROUND
78,It has been demonstrated in the wireless sensor network literature that the communication energy consumption dominates the computational and the sensing energy consumption.,BACKGROUND
79,"Hence, the lifetime of the multi-UAV systems can be extended significantly by optimizing the amount of communication data, at the expense of increasing computational cost.",BACKGROUND
84,"Inspired by speech recognition, recent state-of-the-art algorithms mostly consider scene text recognition as a sequence prediction problem.",BACKGROUND
86,"It is a nature quite different from that of speech, which is essentially a one-dimensional signal.",BACKGROUND
87,"In principle, directly compressing features of text into a one-dimensional form may lose useful information and introduce extra noise.",BACKGROUND
94,A neural network deployed in the wild may be asked to make predictions for inputs that were drawn from a different distribution than that of the training data.,BACKGROUND
95,A plethora of work has demonstrated that it is easy to find or synthesize inputs for which a neural network is highly confident yet wrong.,BACKGROUND
96,"Generative models are widely viewed to be robust to such mistaken confidence as modeling the density of the input features can be used to detect novel, out-of-distribution inputs.",BACKGROUND
113,Such predictions suffer from the huge number of brain regions sampled on the voxel grid of standard fMRI data sets: the curse of dimensionality.,BACKGROUND
114,"Dimensionality reduction is thus needed, but it is often performed using a univariate feature selection procedure, that handles neither the spatial structure of the images, nor the multivariate nature of the signal.",BACKGROUND
120,"As global political preeminence gradually shifted from the United Kingdom to the United States, so did the capacity to culturally influence the rest of the world.",BACKGROUND
126,"A battery swapping and charging station (BSCS) is an energy refueling station, where i) electric vehicles (EVs) with depleted batteries (DBs) can swap their DBs for fully-charged ones, and ii) the swapped DBs are then charged until they are fully-charged.",BACKGROUND
127,"Successful deployment of a BSCS system necessitates a careful planning of swapping- and charging-related infrastructures, and thus a comprehensive performance evaluation of the BSCS is becoming crucial.",BACKGROUND
132,"The success of graph embeddings or node representation learning in a variety of downstream tasks, such as node classification, link prediction, and recommendation systems, has led to their popularity in recent years.",BACKGROUND
133,Representation learning algorithms aim to preserve local and global network structure by identifying node neighborhood notions.,BACKGROUND
134,"However, many existing algorithms generate embeddings that fail to properly preserve the network structure, or lead to unstable representations due to random processes (e.g., random walks to generate context) and, thus, cannot generate to multi-graph problems.",BACKGROUND
