,Abstract,Task 1
5,"With the growing usage of cloud based IoT frameworks in Neuroscience research, integrating the proposed TMM into the existing infrastructure will assure secure and reliable data communication among the E2E devices.",CONCLUSIONS
18,Results indicate that our algorithm is capable of generating more uniform and accurate upsamplings.,RESULTS/CONCLUSIONS
34,The results show that Nielsen heuristics and WCAG 2.0 guidelines both contributed in identifying a number of usability problems.,CONCLUSIONS
45,Our experimental results show that cascading the deep network architecture with the CRF module considerably increases the recognition of facial expressions in videos and in particular it outperforms the state-of-the-art methods in the cross-database experiments and yields comparable results in the subject-independent experiments.,OBJECTIVES/RESULTS/CONCLUSIONS
48,"In order for the semantic distance to perform more properly, we newly introduce an additional model parameter for each word to take out the global factor from this distance indicating how likely it occurs regardless of its topic.",CONCLUSIONS
56,These results suggest that the power of deep MTL comes from learning highly general building blocks that can be assembled to meet the demands of each task.,CONCLUSIONS
71,We then argue that hierarchical networks of leaky integrate-and-fire neurons can offer the required robustness for physical implementation and demonstrate this with both software simulations and emulation on an accelerated analog neuromorphic device.,OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
74,It is shown that the saddle point equations of the replica symmetric solution for a Markov channel is equivalent to the density evolution of the belief propagation on the factor graph representing LDPC codes on the Markov channel.,RESULTS/CONCLUSIONS
83,"Based on simulation results, our method can significantly save energy compared to a baseline strategy, where there is no data aggregation and clustering scheme.",RESULTS/CONCLUSIONS
92,Experiments demonstrate that the proposed algorithm outperforms previous methods on both regular and irregular text datasets.,RESULTS/CONCLUSIONS
93,"Moreover, it is proven to be more robust to imprecise localizations in the text detection phase, which are very common in practice.",CONCLUSIONS
105,Our results caution against using the density estimates from deep generative models to identify inputs similar to the training distribution until their behavior for out-of-distribution inputs is better understood.,CONCLUSIONS
111,Numerical results provide validation of our design solution on how network conditions and system constraints impact the design and implementation of NC and how VNCF allows reliable communication over wireless networks with reliability and connectivity up to theoretical limits.,RESULTS/CONCLUSIONS
139,The experiments show that RECS outperforms state-of-the-art algorithms by up to 36.85% on multi-label classification problem.,RESULTS/CONCLUSIONS
140,"Further, in contrast to baselines, RECS, being deterministic, is completely stable.",RESULTS/CONCLUSIONS
149,The observations suggest marginal differences between groups in syntactical and lexical complexity.,CONCLUSIONS
155,We observed that none of the centrality measures considered satisfies all the axioms.,CONCLUSIONS
161,Our approach shows superior reconstructions compared to recent global reconstruction approaches like D-AMP and TVAL3 on both simulated and real data.,RESULTS/CONCLUSIONS
168,We use Twitter social media to obtain the set of drunk texters and non-drunk texters and show that we can classify users into these two respective sets using various psycholinguistic features with an overall average accuracy of 96.78% with very high precision and recall.,METHODS/RESULTS/CONCLUSIONS
175,The computational cost using extreme learning machine is very small in comparison to back propagation neural network.,CONCLUSIONS
180,Our hierarchical latent-variable model outperforms previous work both linguistically and strategically.,CONCLUSIONS
185,"We experimentally confirm that our approach makes learning of robot activities from unlabeled human interaction videos possible, and demonstrate that our robot is able to execute the learned collaborative activities in real-time directly based on its camera input.",RESULTS/CONCLUSIONS
190,We demonstrate that with choosing various RRR based feedback functions the optimum is reached with adjustable congestion level.,CONCLUSIONS
200,A sentiment analysis of software reviews is proposed to deal with these issues.,RESULTS/CONCLUSIONS
219,"More generally, sparse extractor families can be used instead of pairwise independence in various randomized or nonuniform settings where preserving locality (i.e., parallelism) is of interest.",CONCLUSIONS
226,This result is convenient to apply in real applications and could yield refined local Rademacher complexity bounds for function classes satisfying general entropy conditions.,CONCLUSIONS
239,"Our analysis shows in particular that the preferences have a large impact on the structure of the trades, but that one equilibrium(variational) is optimal.",CONCLUSIONS
244,This suggests that state-space abstraction is one more useful control parameter for designing real-time probabilistic reasoners.,CONCLUSIONS
252,"Indeed, if the essence of the universe is information, matter, charge, energy and movement could be aspects of information, and the many conservation laws could be a single law of information conservation.",CONCLUSIONS
253,"If the universe were a virtual reality, its creation at the big bang would no longer be paradoxical, as every virtual system must be booted up.",CONCLUSIONS
255,"Modern information science can suggest how core physical properties like space, time, light, matter and movement could derive from information processing.",CONCLUSIONS
256,"Such an approach could reconcile relativity and quantum theories, with the former being how information processing creates space-time, and the latter how it creates energy and matter.",CONCLUSIONS
262,"Spatial neuronal representations mirroring those found in the brain emerge, suggesting spatial cognition is an instance of more general organising principles.",RESULTS/CONCLUSIONS
263,"We further unify many entorhinal cell types as basis functions for constructing transition graphs, and show these representations effectively utilise memories.",RESULTS/CONCLUSIONS
264,"We experimentally support model assumptions, showing a preserved relationship between entorhinal grid and hippocampal place cells across environments.",METHODS/RESULTS/CONCLUSIONS
269,"In addition to a low computational cost for the proposed method, we show numerically that the resulting combining matrices perform better than the ones generated by a previous approach and combining matrices generated from a Gaussian ensemble.",RESULTS/CONCLUSIONS
278,"It shows that the algorithm is computationally and memory (space) linearly efficient, and can find the optimal or near-optimal solution in a fraction of the time and memory that many conventional algorithms require.",CONCLUSIONS
279,It is envisaged that this will open up new possibilities of real-time large-scale problems on personal laptops and embedded systems.,CONCLUSIONS
295,"The outcomes of these activities are discussed, and conclusions are drawn as to the need for appropriate organisational models to guide the use of these tools.",CONCLUSIONS
300,"Thus a hotspot may appear away from the active sources, and placing heat sinks on the active thermal sources alone may not suffice to tackle thermal imbalance.",CONCLUSIONS
308,"We conclude that the success of iCaRL is primarily due to knowledge distillation and recognize a key limitation of knowledge distillation, i.e, it often leads to bias in classifiers.",CONCLUSIONS
342,"High-fidelity simulations of a 9-turbine farm show a power production increase of up to 11% using the proposed closed-loop controller compared to traditional, greedy wind farm operation.",CONCLUSIONS
350,"To illustrate the use of CBTs, we provide a set of use cases in robotics scenarios.",CONCLUSIONS
356,"In this research, duality results are adapted to demonstrate the possibility of improved comparisons across implications between ontologically distinct concepts in a common logic-based framework by the present author.",RESULTS/CONCLUSIONS
357,Both positive and negative results are proved that delimit possible comparisons in a clearer way by her.,RESULTS/CONCLUSIONS
362,This gives an assessment of the type of gains which might be expected from locality awareness in peer-to-peer networks.,CONCLUSIONS
365,To analyze intervention strategies we provide the first analytic determination of the critical value for basic bootstrap percolation in random graphs when the vertex thresholds are nonuniform and provide an efficient algorithm.,OBJECTIVES/CONCLUSIONS
373,"Our transition-based parser, which uses a novel transition set and features based on bidirectional LSTMs, has value not just for UCCA parsing: its ability to handle more general graph structures can inform the development of parsers for other semantic DAG structures, and in languages that frequently use discontinuous structures.",METHODS/CONCLUSIONS
399,"We show that by exploiting the nonstationarity of distributions, both cause-effect pairs and two kinds of causal graphs are identifiable under mild conditions.",RESULTS/CONCLUSIONS
421,"Translating our result about minimal sufficient statistics, this is equivalent to the mutual information between the forward- and reverse-time causal states of computational mechanics.",CONCLUSIONS
422,We close by discussing multivariate extensions to this use of minimal sufficient statistics.,CONCLUSIONS
425,"In this work, we show that it is possible to recover both latent and conditional vectors from generated images given the generator of a conditional generative adversarial network.",RESULTS/CONCLUSIONS
435,The results of experiments on several TREC collections show that the new approach compares favourably to current state-of-the-art expansion methods.,RESULTS/CONCLUSIONS
482,The results show that the proposed semantic stopping criteria are able to detect stopping points that result in a competitive generalization for both GSGP and SLM.,RESULTS/CONCLUSIONS
483,"This approach also yields computationally efficient algorithms as it allows the evolution of neural networks in less than 3 seconds on average, and of GP trees in at most 10 seconds.",RESULTS/CONCLUSIONS
484,The usage of the proposed semantic stopping criteria in conjunction with the computation of optimal mutation/learning steps also results in small trees and neural networks.,RESULTS/CONCLUSIONS
493,"This leads us to believe that developing effective methods for training convolutional arithmetic circuits, thereby fulfilling their expressive potential, may give rise to a deep learning architecture that is provably superior to convolutional rectifier networks but has so far been overlooked by practitioners.",CONCLUSIONS
506,There is currently no evidence that such patterns exist.,CONCLUSIONS
524,"Furthermore, with the integration of intraoperative features, we were able to classify patients who were misclassified in the preoperative model.",CONCLUSIONS
541,Numerical results show that (i) UC-based models outperform non-UC (all-in-one) models with the same M3 architecture by approximately 20%; (ii) M3-based models also outperform the single-algorithm machine learning (SAML) models by approximately 20%.,RESULTS/CONCLUSIONS
551,"Finally, we resort to randomized online algorithms showing that we can obtain a competitive factor that is twice better than the one that can be achieved by any deterministic online algorithm.",METHODS/RESULTS/CONCLUSIONS
