,Abstract,Task 1
1,"To ensure secure and reliable data communication between end-to-end (E2E) devices supported by current IoT and cloud infrastructure, trust management is needed at the IoT and user ends.",OBJECTIVES
6,"In this paper, we address the problem of computing optimal paths through three consecutive points for the curvature-constrained forward moving Dubins vehicle.",OBJECTIVES
12,"In this paper, we propose a data-driven algorithm that enables an upsampling of 3D point clouds without the need for hard-coded rules.",OBJECTIVES
22,"The aim of this paper is design, evaluate and improve the interface for the VI users to perform search and browse results.",OBJECTIVES
23,This attempt provides a new accessibility tool for the VI web searchers.,OBJECTIVES
45,Our experimental results show that cascading the deep network architecture with the CRF module considerably increases the recognition of facial expressions in videos and in particular it outperforms the state-of-the-art methods in the cross-database experiments and yields comparable results in the subject-independent experiments.,OBJECTIVES/RESULTS/CONCLUSIONS
46,This paper proposes the continuous semantic topic embedding model (CSTEM) which finds latent topic variables in documents using continuous semantic distance function between the topics and the words by means of the variational autoencoder(VAE).,OBJECTIVES/METHODS
52,Such an organization significantly constricts the types of shared structure that can be learned.,BACKGROUND/OBJECTIVES
53,The necessity of parallel ordering for deep MTL is first tested by comparing it with permuted ordering of shared layers.,OBJECTIVES/METHODS
57,In this paper we explore the use of electrical biosignals measured on scalp and corresponding to mental relaxation and concentration tasks in order to control an object in a video game.,OBJECTIVES
67,"How spiking networks are able to perform probabilistic inference is an intriguing question, not only for understanding information processing in the brain, but also for transferring these computational principles to neuromorphic silicon circuits.",BACKGROUND/OBJECTIVES
70,"In this paper, we discuss several such distortive effects that are difficult or impossible to remove by classical calibration routines or parameter training.",OBJECTIVES/METHODS/RESULTS
71,We then argue that hierarchical networks of leaky integrate-and-fire neurons can offer the required robustness for physical implementation and demonstrate this with both software simulations and emulation on an accelerated analog neuromorphic device.,OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
73,"In this paper, statistical mechanical analysis of LDPC codes is performed for asymmetric memoryless channels and general Markov channels.",OBJECTIVES
80,"In this work, we aim at attaining an optimal trade-off between the communication and the computational energy.",OBJECTIVES
85,"Though achieving excellent performance, these methods usually neglect an important fact that text in images are actually distributed in two-dimensional space.",OBJECTIVES
88,"In this paper, we approach scene text recognition from a two-dimensional perspective.",OBJECTIVES
106,"In this paper, we propose a design solution for the implementation of Virtualized Network Coding Functionality (VNCF) over a service coverage area.",OBJECTIVES
107,Network Function Virtualization (NFV) and Network Coding (NC) architectural designs are integrated as a toolbox of NC design domains so that NC can be implemented over different underlying physical networks including satellite or hybrid networks.,OBJECTIVES
109,The overall design target is to achieve a given multicast transmission target reliability at receiver sides.,OBJECTIVES
