,Abstract,Task 1
7,"Given initial and final configurations of the Dubins vehicle, and a midpoint with an unconstrained heading, the objective is to compute the midpoint heading that minimizes the total Dubins path length.",OTHERS
99,CIFAR-10) from those of house numbers (i.e.,OTHERS
100,"SVHN), assigning a higher likelihood to the latter when the model is trained on the former.",OTHERS
169,"Note that such an automatic classification can have far-reaching impact - (i) on health research related to addiction prevention and control, and (ii) in eliminating abusive and vulgar contents from Twitter, borne by the tweets of drunk texters.",OTHERS
301,"Power management techniques aid in obtaining a uniform power profile throughout the chip, but we propose an algorithm using minimum bipartite matching where we try to move the sources minimally (with minimum perturbation in the chip floor plan) near cooler points (blocks) to obtain a uniform power profile due to diffusion of heat from hotter point to cooler ones.",OTHERS
311,Our implementation is available at https://github.com/Khurramjaved96/incremental-learning.,OTHERS
325,2015 is the centennial of Einstein General Relativity.,OTHERS
341,"Furthermore, a novel, computationally efficient and modular communication interface is presented that enables researchers to straight-forwardly test their control algorithms in large-eddy simulations.",OTHERS
416,"While intuitively reasonable, it is not obvious or straightforward that both variables can be replaced simultaneously.",OTHERS
430,"In this paper, we present DiscreteZOO, a project which illustrates some of the possibilities for computer-supported management of collections of finite combinatorial (discrete) objects, in particular graphs with a high degree of symmetry.",OTHERS
431,"DiscreteZOO encompasses a data repository, a website and a SageMath Package.",OTHERS
461,"Several examples are discussed, with a special focus on electrical impedance tomography.",OTHERS
499,Evtimov et al.,OTHERS
505,Such a pattern would be of great theoretical and practical interest.,OTHERS
512,"These results also help to show the relationship between the depth, regularization, and stability of the feature space.",OTHERS
513,Computational experiments on the proposed variants show that the accuracy of ResNet is preserved and that the accuracy seems to be monotone with respect to the depth and various corruptions.,OTHERS
615,We complement our contribution with a list of significant open problems for the community to address.,OTHERS
643,The results open opportunities for improving developers' performance by integrating the study of sleep with other psycho-physiological factors in which the software engineering research community has recently taken an interest in.,OTHERS
667,Furthermore in the spirit of reproducible research we have publicly released the source code for k-SSC,OTHERS
808,"The resultant anisotropy, which can be detrimental in many applications, can be decreased using image interpolation.",OTHERS
809,Optical flow and/or other registration-based interpolators have proven useful in such interpolation roles in the past.,OTHERS
854,We experimentally demonstrate effectiveness of this approach by synthesizing a controller for an HVAC system.,OTHERS
886,The MATLAB code for relevant simulations is available online at https://goo.gl/Uw7E0W.,OTHERS
897,The labeled dataset is available at: https://osf.io/d45bw/.,OTHERS
925,Numerical tests using synthetic data and real images validate the effectiveness of the algorithm and the practical merits of the theory.,OTHERS
1103,The code is available at https://github.com/wuhuikai/DeepGuidedFilter.,OTHERS
1149,Availability: The latest version of EBIC could be downloaded from http://github.com/EpistasisLab/ebic .,OTHERS
1150,Installation and usage instructions are also available online.,OTHERS
1383,"This is a rather imperative approach, in its spirit.",OTHERS
1406,Bondarenko in 1983.,OTHERS
1409,"Little, K.G.",OTHERS
1410,"Murty, D.W. Sweeney, C. Karel in 1963.",OTHERS
1429,The system is publicly available at https://polyhedral.eecs.yorku.ca.,OTHERS
1444,"By positive speech we understand speech that works for the betterment of a given situation, in this case relations between different communities in a conflict-prone country.",OTHERS
1445,We worked with four Twitter data sets.,OTHERS
1526,"Finally, we present the comparison of several knowledge-aware recommendation algorithms on our linked dataset.",OTHERS
1539,We expect that by studying these examples we will be able to develop a general theory separating axiomatizable and non-axiomatizable semantics.,OTHERS
1591,"Convolutional neural networks (CNNs) show impressive performance for image classification and detection, extending heavily to the medical image domain.",OTHERS
1736,"To explain these counterintuitive results, we draw connections to adversarial examples and confidence calibration: pathological behaviors reveal difficulties in interpreting neural models trained with maximum likelihood.",OTHERS
1790,The proposed method is evaluated using a geological carbon storage process-based multiphase flow model with a 2500-dimensional stochastic permeability field.,OTHERS
2057,The whole field of system security is limitless and in an evolutionary stage.,OTHERS
2078,We demonstrate the benefits of our network coding framework through simulations.,OTHERS
2120,PyPhi can be installed with Python's package manager via the command 'pip install pyphi' on Linux and macOS systems equipped with Python 3.4 or higher.,OTHERS
2121,PyPhi is open-source and licensed under the GPLv3; the source code is hosted on GitHub at https://github.com/wmayner/pyphi .,OTHERS
2122,Comprehensive and continually-updated documentation is available at https://pyphi.readthedocs.io/ .,OTHERS
2123,The pyphi-users mailing list can be joined at https://groups.google.com/forum/#!forum/pyphi-users .,OTHERS
2124,A web-based graphical interface to the software is available at http://integratedinformationtheory.org/calculate.html .,OTHERS
2333,"In 2016, a group of researchers at MIT have developed an automated DNA nanostructures strategy and an open source software 'daedalus' based on MATLAB for developing the nanostructures.",OTHERS
2363,Big data is also considered as an inherent element of most smart city project that must be tackled.,OTHERS
2442,Would you like to have your own cryptography method?,OTHERS
2457,Type of a nonlinear system is the subject of calcula-tions.,OTHERS
2460,The results of identification used in real systems are an application.,OTHERS
2475,The source code using Keras framework is publicly available.,OTHERS
2509,"As well, in the last section of this paper, we present a proposal of KM metrics for PSO, and some recommendations and practical implications for KM metrics development in PSO.",OTHERS
2510,This academic endeavour seeks to contribute to theoretical debate about KM measure development for KM initiatives in PSO.,OTHERS
2755,"Specifically, we used a manually curated dataset from 12 genomic single nucleotide polymorphism array (SNPa) profiles as truth-set and aimed at predicting the presence or absence of genomic breakpoints, an indicator of structural chromosomal variations, in windows of 40,000 probes.",OTHERS
2780,The code and pre-trained models will be publicly available at https://github.com/tourmaline612/RTINet.,OTHERS
2823,"Specifically, we discuss the effectiveness and practicality of potential countermeasures, such as precautionary testing and runtime diagnostic.",OTHERS
2901,The Kmerlight tool is written in C++ and is available for download and use from https://github.com/nsivad/kmerlight.,OTHERS
2913,The results of the paper will be used in future studies of studying dynamics of cities with living excitable substrates.,OTHERS
3004,"The basic physical tool of our theorization, we call Quantum State Selection, consists in the twin-combined measurement process through positive valued measure operator (POVM), needed to provide the quantum oracle's answer.",OTHERS
3092,"Moreover, some models require strictly paired training data which largely limits their usage scenarios.",OTHERS
3135,A Matlab implementation of the proposed solution is included in the paper.,OTHERS
3331,This software concerns economic effectiveness evaluation for construction projects.,OTHERS
3447,The model is trained and validated by using the driving data collected from the Beijing Institute of Technology intelligent vehicle platform.,OTHERS
3457,The code is publicly available.,OTHERS
3499,Stat.,OTHERS
3500,Mech.,OTHERS
3501,Theo.,OTHERS
3502,Exp.,OTHERS
3503,09 doi:10.1088/1742.-5468/2006/09/P09011).,OTHERS
3512,Keywords: Metagenomics; Deep learning; Convolutional Neural Networks; Phylogenetic trees,OTHERS
3716,"As a result, supercomputer sites and data centers have changed from providing high performance floating point computing capabilities to concurrently servicing huge number of requests from billions of users.",OTHERS
3735,This chapter provides a basic introduction to the underlying ideas of how to come to a supervised classification problem.,OTHERS
3736,"In addition, it provides an overview of some specific classification techniques, delves into the issues of object representation and classifier evaluation, and (very) briefly covers some variations on the basic supervised classification task that may also be of interest to the practitioner.",OTHERS
3757,Simulation results corroborating the theory are also provided.,OTHERS
3826,This paper suggests that there is a significant gap between the perceived potential of social media and the entrepreneurial behaviors at the social context in business-to-business (B2B) companies.,OTHERS
3832,This permits the decoder to softly decide what portions of the latent hierarchy to condition on by attending over the value embeddings for a given setting.,OTHERS
3835,"A unique non-commercial dataset, the University of Maryland Active Authentication Dataset 02 (UMDAA-02) for multi-modal user authentication research is introduced.",OTHERS
3836,"This paper focuses on three sensors - front camera, touch sensor and location service while providing a general description for other modalities.",OTHERS
3838,The dataset will be made available to the research community for promoting additional research.,OTHERS
3905,Inference of space-time varying signals on graphs emerges naturally in a plethora of network science related applications.,OTHERS
3906,"A frequently encountered challenge pertains to reconstructing such dynamic processes, given their values over a subset of vertices and time instants.",OTHERS
4020,(The code is publicly available at: http://castle.strw.leidenuniv.nl/software.html) The tree construction and traverse algorithms are portable to many-core devices which have support for CUDA or OpenCL programming languages.,OTHERS
4035,Human activity recognition based on wearable sensor data has been an attractive research topic due to its application in areas such as healthcare and smart environments.,OTHERS
4036,"In this context, many works have presented remarkable results using accelerometer, gyroscope and magnetometer data to represent the activities categories.",OTHERS
4037,"However, current studies do not consider important issues that lead to skewed results, making it hard to assess the quality of sensor-based human activity recognition and preventing a direct comparison of previous works.",OTHERS
4039,"We emphasize that in other research areas, such as image classification and object detection, these issues are already well-defined, which brings more efforts towards the application.",OTHERS
4055,The Python programs in this study are freely available to the public at https://github.com/cyinbox/iCGR,OTHERS
4085,"Moreover, we have released our implementation as an OCR product which is available for public access.",OTHERS
4369,Some of the open research challenges are also put forward.,OTHERS
4422,Under consideration in Theory and Practice of Logic Programming (TPLP).,OTHERS
4616,Deep RTS is publicly available at https://github.com/cair/DeepRTS.,OTHERS
4628,"In addi- tion, the model provides avenues for interesting extensions, such as robustness against noisy in- puts and optimizing over parameters in activation functions.",OTHERS
4646,A discussion follows on strengths and weaknesses of labeled datasets used in this study for future efforts to evaluate author name disambiguation on a digital library scale.,OTHERS
4860,The predictive performance of CBR is a dataset dependent and subject to extremely large space of configuration possibilities.,OTHERS
4861,"Regardless of the type of adaptation technique, deciding on the optimal number of similar cases to be used before applying CBR is a key challenge.",OTHERS
5276,We consider the problem of cooperative output regulation for linear multi-agent systems.,OTHERS
5293,We demonstrate these results computationally with a multilayer feedforward neural network.,OTHERS
5446,"As examples, the Lorenz system and Liu system excited by the sparse multi-tone signals are taken to illustrate the principle and the performance.",OTHERS
5459,"In addition, a graphical interface was built to handle with both methods Z- TODIM and Z-TOPSIS allowing ease of use for user in other areas of knowledge.",OTHERS
5544,"This report describes my research activities in the Hasso Plattner Institute and summarizes my Ph.D. plan and several novels, end-to-end trainable approaches for analyzing medical images using deep learning algorithm.",OTHERS
5546,This report prepared for the doctoral consortium in the AIME-2017 conference.,OTHERS
5561,"Beyond that, we classify the existing methods in different categories so as to have a better idea of the popularity of each type of solution procedure.",OTHERS
5601,We put special emphasis on everyday human-computer interface applications to distinguish from the more common clinical or sports uses of psychophysiology.,OTHERS
5602,"This paper is an extract from a comprehensive review of the entire field of ambulatory psychophysiology, including 12 similar chapters, plus application guidelines and systematic review.",OTHERS
5603,"Thus any citation should be made using the following reference:   B. Cowley, M. Filetti, K. Lukander, J. Torniainen, A. Henelius, L. Ahonen, O. Barral, I. Kosunen, T. Valtonen, M. Huotilainen, N. Ravaja, G. Jacucci.",OTHERS
5604,The Psychophysiology Primer: a guide to methods and a broad review with a focus on human-computer interaction.,OTHERS
5605,"Foundations and Trends in Human-Computer Interaction, vol.",OTHERS
5606,"9, no.",OTHERS
5607,"3-4, pp.",OTHERS
5608,"150--307, 2016.",OTHERS
5669,(2017).,OTHERS
5751,We propose and examine a design that takes particular advantage of recent advances in the understanding of both Convolutional Neural Networks as well as ResNets.,OTHERS
5754,"As in other fully convolutional approaches, our pipeline can be used off-the-shelf on different image modalities.",OTHERS
5774,The source code for the complete system are publicly available.,OTHERS
5932,Nazr-CNN consists of two components.,OTHERS
5935,To showcase our approach we use data from UAVs that were deployed to assess the level of damage in the aftermath of a devastating cyclone that hit the island of Vanuatu in 2015.,OTHERS
5957,"While both generalization methods leave room for improvement, our work shows that (i) local trajectory-based controllers for complex non-prehensile manipulation tasks can be constructed from surprisingly small amounts of training data, and (ii) collections of such controllers can be interpolated to form more global controllers.",OTHERS
6020,"Our dataset, codes and trained models are available online at https://github.com/GKalliatakis/Human-Rights-Archive-CNNs.",OTHERS
6039,We anticipate that this approach will improve the accessibility of the Futamura Projections and help foster analysis of those new tools through the lens of partial evaluation.,OTHERS
6047,"Our observations imply several prospective uses of engagement metrics -- choosing engaging topics for video production, or promoting engaging videos in recommender systems.",OTHERS
6152,In fact in the past two decades researchers have tried to integrate reality and VR in the form of intuitive computer interface.,OTHERS
6154,However despite the extensive research efforts in creating virtual system environments it is yet to become apparent in normal daily life.,OTHERS
6162,Our work offers several contributions.,OTHERS
6165,"Keywords: Vertex Centrality Measures, Neural Networks, Complex Network Models, Machine Learning, Regression Model",OTHERS
6304,They should see it as a funny game.,OTHERS
6339,"In this paper we motivate, formalize and present our approach.",OTHERS
6504,"These convergence results are deterministic, i.e., they establish sample path convergence for arbitrary sequences of delay patterns or distributions on the nodes, and are independent of the tail behavior of the delay distribution.",OTHERS
6510,"Therefore, there seems to be a waste of capacity in this practice.",OTHERS
