Id,result
T00001,BACKGROUND
T00002,METHODS
T00003,BACKGROUND
T00004,RESULTS
T00005,METHODS
T00006,BACKGROUND
T00007,METHODS
T00008,BACKGROUND
T00009,BACKGROUND
T00010,BACKGROUND
T00011,METHODS
T00012,METHODS
T00013,BACKGROUND
T00014,BACKGROUND
T00015,RESULTS
T00016,BACKGROUND
T00017,METHODS
T00018,METHODS
T00019,BACKGROUND
T00020,METHODS
T00021,RESULTS
T00022,BACKGROUND
T00023,OBJECTIVES
T00024,BACKGROUND
T00025,METHODS
T00026,METHODS
T00027,RESULTS
T00028,RESULTS
T00029,RESULTS
T00030,RESULTS
T00031,BACKGROUND
T00032,BACKGROUND
T00033,BACKGROUND
T00034,METHODS
T00035,METHODS
T00036,RESULTS
T00037,BACKGROUND
T00038,BACKGROUND
T00039,BACKGROUND
T00040,BACKGROUND
T00041,RESULTS
T00042,BACKGROUND
T00043,METHODS
T00044,BACKGROUND
T00045,RESULTS
T00046,METHODS
T00047,METHODS
T00048,METHODS
T00049,METHODS
T00050,RESULTS
T00051,METHODS
T00052,METHODS
T00053,BACKGROUND
T00054,METHODS
T00055,RESULTS
T00056,BACKGROUND
T00057,METHODS
T00058,METHODS
T00059,METHODS
T00060,METHODS
T00061,METHODS
T00062,RESULTS
T00063,METHODS
T00064,BACKGROUND
T00065,BACKGROUND
T00066,RESULTS
T00067,METHODS
T00068,METHODS
T00069,METHODS
T00070,METHODS
T00071,BACKGROUND
T00072,RESULTS
T00073,BACKGROUND
T00074,METHODS
T00075,BACKGROUND
T00076,RESULTS
T00077,METHODS
T00078,BACKGROUND
T00079,METHODS
T00080,METHODS
T00081,METHODS
T00082,METHODS
T00083,METHODS
T00084,METHODS
T00085,BACKGROUND
T00086,METHODS
T00087,METHODS
T00088,RESULTS
T00089,BACKGROUND
T00090,BACKGROUND
T00091,METHODS
T00092,BACKGROUND
T00093,METHODS
T00094,METHODS
T00095,METHODS
T00096,RESULTS
T00097,METHODS
T00098,METHODS
T00099,METHODS
T00100,BACKGROUND
T00101,METHODS
T00102,METHODS
T00103,BACKGROUND
T00104,METHODS
T00105,BACKGROUND
T00106,METHODS
T00107,METHODS
T00108,BACKGROUND
T00109,BACKGROUND
T00110,METHODS
T00111,BACKGROUND
T00112,BACKGROUND
T00113,BACKGROUND
T00114,METHODS
T00115,METHODS
T00116,METHODS
T00117,METHODS
T00118,RESULTS
T00119,BACKGROUND
T00120,RESULTS
T00121,RESULTS
T00122,BACKGROUND
T00123,RESULTS
T00124,BACKGROUND
T00125,BACKGROUND
T00126,BACKGROUND
T00127,METHODS
T00128,METHODS
T00129,METHODS
T00130,BACKGROUND
T00131,METHODS
T00132,METHODS
T00133,METHODS
T00134,METHODS
T00135,RESULTS
T00136,BACKGROUND
T00137,BACKGROUND
T00138,METHODS
T00139,METHODS
T00140,METHODS
T00141,METHODS
T00142,METHODS
T00143,BACKGROUND
T00144,BACKGROUND
T00145,METHODS
T00146,BACKGROUND
T00147,BACKGROUND
T00148,METHODS
T00149,METHODS
T00150,METHODS
T00151,RESULTS
T00152,METHODS
T00153,METHODS
T00154,BACKGROUND
T00155,METHODS
T00156,BACKGROUND
T00157,RESULTS
T00158,RESULTS
T00159,METHODS
T00160,BACKGROUND
T00161,BACKGROUND
T00162,BACKGROUND
T00163,BACKGROUND
T00164,METHODS
T00165,METHODS
T00166,METHODS
T00167,BACKGROUND
T00168,METHODS
T00169,METHODS
T00170,BACKGROUND
T00171,METHODS
T00172,RESULTS
T00173,METHODS
T00174,METHODS
T00175,BACKGROUND
T00176,BACKGROUND
T00177,RESULTS
T00178,METHODS
T00179,RESULTS
T00180,BACKGROUND
T00181,METHODS
T00182,METHODS
T00183,BACKGROUND
T00184,BACKGROUND
T00185,METHODS
T00186,BACKGROUND
T00187,METHODS
T00188,BACKGROUND
T00189,METHODS
T00190,METHODS
T00191,BACKGROUND
T00192,BACKGROUND
T00193,METHODS
T00194,METHODS
T00195,BACKGROUND
T00196,BACKGROUND
T00197,METHODS
T00198,BACKGROUND
T00199,METHODS
T00200,METHODS
T00201,METHODS
T00202,BACKGROUND
T00203,METHODS
T00204,METHODS
T00205,BACKGROUND
T00206,RESULTS
T00207,METHODS
T00208,METHODS
T00209,RESULTS
T00210,BACKGROUND
T00211,RESULTS
T00212,METHODS
T00213,RESULTS
T00214,BACKGROUND
T00215,METHODS
T00216,METHODS
T00217,RESULTS
T00218,BACKGROUND
T00219,METHODS
T00220,BACKGROUND
T00221,METHODS
T00222,METHODS
T00223,METHODS
T00224,METHODS
T00225,RESULTS
T00226,RESULTS
T00227,BACKGROUND
T00228,METHODS
T00229,RESULTS
T00230,BACKGROUND
T00231,BACKGROUND
T00232,METHODS
T00233,RESULTS
T00234,METHODS
T00235,METHODS
T00236,BACKGROUND
T00237,BACKGROUND
T00238,BACKGROUND
T00239,METHODS
T00240,METHODS
T00241,RESULTS
T00242,BACKGROUND
T00243,METHODS
T00244,RESULTS
T00245,RESULTS
T00246,METHODS
T00247,BACKGROUND
T00248,METHODS
T00249,METHODS
T00250,BACKGROUND
T00251,BACKGROUND
T00252,METHODS
T00253,METHODS
T00254,RESULTS
T00255,BACKGROUND
T00256,METHODS
T00257,BACKGROUND
T00258,BACKGROUND
T00259,RESULTS
T00260,METHODS
T00261,METHODS
T00262,METHODS
T00263,RESULTS
T00264,RESULTS
T00265,BACKGROUND
T00266,METHODS
T00267,RESULTS
T00268,BACKGROUND
T00269,BACKGROUND
T00270,METHODS
T00271,METHODS
T00272,METHODS
T00273,METHODS
T00274,METHODS
T00275,METHODS
T00276,METHODS
T00277,RESULTS
T00278,BACKGROUND
T00279,BACKGROUND
T00280,METHODS
T00281,METHODS
T00282,BACKGROUND
T00283,METHODS
T00284,METHODS
T00285,METHODS
T00286,BACKGROUND
T00287,BACKGROUND
T00288,RESULTS
T00289,METHODS
T00290,BACKGROUND
T00291,BACKGROUND
T00292,BACKGROUND
T00293,RESULTS
T00294,OBJECTIVES
T00295,BACKGROUND
T00296,BACKGROUND
T00297,METHODS
T00298,METHODS
T00299,BACKGROUND
T00300,METHODS
T00301,METHODS
T00302,METHODS
T00303,OBJECTIVES
T00304,RESULTS
T00305,BACKGROUND
T00306,RESULTS
T00307,BACKGROUND
T00308,METHODS
T00309,METHODS
T00310,METHODS
T00311,METHODS
T00312,METHODS
T00313,METHODS
T00314,METHODS
T00315,BACKGROUND
T00316,BACKGROUND
T00317,METHODS
T00318,BACKGROUND
T00319,METHODS
T00320,BACKGROUND
T00321,RESULTS
T00322,METHODS
T00323,BACKGROUND
T00324,BACKGROUND
T00325,RESULTS
T00326,METHODS
T00327,RESULTS
T00328,BACKGROUND
T00329,BACKGROUND
T00330,RESULTS
T00331,BACKGROUND
T00332,METHODS
T00333,METHODS
T00334,METHODS
T00335,BACKGROUND
T00336,RESULTS
T00337,BACKGROUND
T00338,METHODS
T00339,METHODS
T00340,RESULTS
T00341,BACKGROUND
T00342,METHODS
T00343,METHODS
T00344,RESULTS
T00345,METHODS
T00346,OBJECTIVES
T00347,BACKGROUND
T00348,BACKGROUND
T00349,BACKGROUND
T00350,RESULTS
T00351,METHODS
T00352,METHODS
T00353,METHODS
T00354,RESULTS
T00355,BACKGROUND
T00356,BACKGROUND
T00357,BACKGROUND
T00358,METHODS
T00359,METHODS
T00360,BACKGROUND
T00361,BACKGROUND
T00362,METHODS
T00363,METHODS
T00364,METHODS
T00365,METHODS
T00366,METHODS
T00367,METHODS
T00368,METHODS
T00369,METHODS
T00370,METHODS
T00371,METHODS
T00372,BACKGROUND
T00373,METHODS
T00374,METHODS
T00375,RESULTS
T00376,BACKGROUND
T00377,METHODS
T00378,METHODS
T00379,RESULTS
T00380,BACKGROUND
T00381,BACKGROUND
T00382,BACKGROUND
T00383,BACKGROUND
T00384,METHODS
T00385,BACKGROUND
T00386,BACKGROUND
T00387,METHODS
T00388,BACKGROUND
T00389,METHODS
T00390,RESULTS
T00391,METHODS
T00392,METHODS
T00393,BACKGROUND
T00394,METHODS
T00395,BACKGROUND
T00396,METHODS
T00397,BACKGROUND
T00398,METHODS
T00399,METHODS
T00400,BACKGROUND
T00401,METHODS
T00402,BACKGROUND
T00403,BACKGROUND
T00404,RESULTS
T00405,METHODS
T00406,METHODS
T00407,METHODS
T00408,RESULTS
T00409,METHODS
T00410,BACKGROUND
T00411,METHODS
T00412,METHODS
T00413,METHODS
T00414,METHODS
T00415,METHODS
T00416,RESULTS
T00417,BACKGROUND
T00418,METHODS
T00419,RESULTS
T00420,METHODS
T00421,METHODS
T00422,BACKGROUND
T00423,METHODS
T00424,METHODS
T00425,RESULTS
T00426,BACKGROUND
T00427,BACKGROUND
T00428,RESULTS
T00429,METHODS
T00430,METHODS
T00431,METHODS
T00432,OBJECTIVES
T00433,METHODS
T00434,BACKGROUND
T00435,BACKGROUND
T00436,BACKGROUND
T00437,BACKGROUND
T00438,BACKGROUND
T00439,RESULTS
T00440,METHODS
T00441,BACKGROUND
T00442,BACKGROUND
T00443,BACKGROUND
T00444,METHODS
T00445,METHODS
T00446,METHODS
T00447,METHODS
T00448,METHODS
T00449,BACKGROUND
T00450,BACKGROUND
T00451,RESULTS
T00452,RESULTS
T00453,BACKGROUND
T00454,METHODS
T00455,METHODS
T00456,BACKGROUND
T00457,METHODS
T00458,METHODS
T00459,BACKGROUND
T00460,BACKGROUND
T00461,METHODS
T00462,BACKGROUND
T00463,BACKGROUND
T00464,METHODS
T00465,BACKGROUND
T00466,METHODS
T00467,METHODS
T00468,RESULTS
T00469,METHODS
T00470,METHODS
T00471,METHODS
T00472,METHODS
