,Abstract,Task 1
4,"In contrast to the existing fuzzy based TMMs, the NS2 simulation results confirm the robustness and accuracy of the proposed TMM in identifying malicious nodes in the communication network.",RESULTS
8,"We provide a novel geometrical analysis of the optimal path, and establish new properties of the optimal Dubins' path through three points.",METHODS/RESULTS
9,We then show how our method can be used to quickly refine Dubins TSP tours produced using state-of-the-art techniques.,RESULTS
10,"We also provide extensive simulation results showing the improvement of the proposed approach in both runtime and solution quality over the conventional method of uniform discretization of the heading at the mid-point, followed by solving the minimum Dubins path for each discrete heading.",RESULTS
18,Results indicate that our algorithm is capable of generating more uniform and accurate upsamplings.,RESULTS/CONCLUSIONS
29,The analysis was carried out based on the number of usability problems identified and their average severity ratings.,RESULTS
30,The results show that the most frequently violated heuristics from the Nielsen set are consistency and documentation.,RESULTS
31,The average severity rating of all the problems found using Nielsen set is minor.,RESULTS
32,"The results also show that the most frequently violated WCAG 2.0 guidelines are distinguishable, followed by navigable and affordance.",RESULTS
33,The average severity rating of all the problems found using WCAG 2.0 guidelines is also minor.,RESULTS
45,Our experimental results show that cascading the deep network architecture with the CRF module considerably increases the recognition of facial expressions in videos and in particular it outperforms the state-of-the-art methods in the cross-database experiments and yields comparable results in the subject-independent experiments.,OBJECTIVES/RESULTS/CONCLUSIONS
49,It certainly improves the problem that the Gaussian distribution which is used in previous topic model with continuous word embedding could not explain the semantic relation correctly and helps to obtain the higher topic coherence.,RESULTS
50,"Through the experiments with the dataset of 20 Newsgroup, NIPS papers and CNN/Dailymail corpus, the performance of the recent state-of-the-art models is accomplished by our model as well as generating topic embedding vectors which makes possible to observe where the topic vectors are embedded with the word vectors in the real Euclidean space and how the topics are related each other semantically.",RESULTS
54,"The results indicate that a flexible ordering can enable more effective sharing, thus motivating the development of a soft ordering approach, which learns how shared layers are applied in different ways for different tasks.",METHODS/RESULTS
55,Deep MTL with soft ordering outperforms parallel ordering methods across a series of domains.,RESULTS
62,"Results show that the first design enabled 70% of the participants to successfully control the game, whereas 100% of the participants managed to do it with the second design based on machine learning.",RESULTS
63,"Subjective questionnaires confirm these results: users globally felt to have control in both designs, with an increased feeling of control in the second one.",RESULTS
64,Offline analysis of face and neck muscle activity shows that this activity could also be used to distinguish between relaxation and concentration tasks.,RESULTS
65,Results suggest that the combination of muscular and brain activity could improve performance of this kind of system.,RESULTS
66,They also suggest that muscular activity has probably been recorded by EEG electrodes.,RESULTS
70,"In this paper, we discuss several such distortive effects that are difficult or impossible to remove by classical calibration routines or parameter training.",OBJECTIVES/METHODS/RESULTS
71,We then argue that hierarchical networks of leaky integrate-and-fire neurons can offer the required robustness for physical implementation and demonstrate this with both software simulations and emulation on an accelerated analog neuromorphic device.,OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
74,It is shown that the saddle point equations of the replica symmetric solution for a Markov channel is equivalent to the density evolution of the belief propagation on the factor graph representing LDPC codes on the Markov channel.,RESULTS/CONCLUSIONS
82,"The proposed framework is tested on two applications, namely target tracking and area mapping.",METHODS/RESULTS
